Sketch,Plane,x,z,y
0,XY,1.9761999999999997,1.3119,0.0
0,XY,1.9390999999999998,1.3077999999999999,0.0
0,XY,1.9021,1.3034000000000001,0.0
0,XY,1.865,1.2986,0.0
0,XY,1.828,1.2935,0.0
0,XY,1.7909000000000002,1.288,0.0
0,XY,1.7538999999999998,1.2821,0.0
0,XY,1.7167999999999999,1.2759,0.0
0,XY,1.6798,1.2692999999999999,0.0
0,XY,1.6427,1.2624,0.0
0,XY,1.6057,1.2550999999999999,0.0
0,XY,1.5685999999999998,1.2475,0.0
0,XY,1.5316,1.2395,0.0
0,XY,1.4946,1.2312,0.0
0,XY,1.4575,1.2225,0.0
0,XY,1.4205,1.2134,0.0
0,XY,1.3835,1.204,0.0
0,XY,1.3464,1.1942,0.0
0,XY,1.3094,1.1841000000000002,0.0
0,XY,1.2724,1.1736,0.0
0,XY,1.2354,1.1627999999999998,0.0
0,XY,1.1984,1.1516,0.0
0,XY,1.1613,1.1400000000000001,0.0
0,XY,1.1242999999999999,1.1280999999999999,0.0
0,XY,1.0873000000000002,1.1159000000000001,0.0
0,XY,1.0503,1.1032,0.0
0,XY,1.0132999999999999,1.0903,0.0
0,XY,0.9763000000000001,1.0769000000000002,0.0
0,XY,0.9393,1.0632000000000001,0.0
0,XY,0.9022,1.0492,0.0
0,XY,0.8652,1.0348,0.0
0,XY,0.8281999999999999,1.02,0.0
0,XY,0.7912,1.0049000000000001,0.0
0,XY,0.7542,0.9894999999999999,0.0
0,XY,0.7172000000000001,0.9736,0.0
0,XY,0.6802,0.9575,0.0
0,XY,0.6433,0.9409000000000001,0.0
0,XY,0.6063,0.924,0.0
0,XY,0.5693,0.9067999999999999,0.0
0,XY,0.5323,0.8892000000000001,0.0
0,XY,0.4953,0.8712,0.0
0,XY,0.45830000000000004,0.8529,0.0
0,XY,0.42129999999999995,0.8342,0.0
0,XY,0.38430000000000003,0.8151999999999999,0.0
0,XY,0.3474,0.7958,0.0
0,XY,0.3104,0.7761,0.0
0,XY,0.2734,0.756,0.0
0,XY,0.23640000000000003,0.7355,0.0
0,XY,0.19949999999999998,0.7147,0.0
0,XY,0.1625,0.6935,0.0
0,XY,0.1625,0.6935,0.0
0,XY,0.1595,0.6918,0.0
0,XY,0.1564,0.6901,0.0
0,XY,0.1534,0.6885,0.0
0,XY,0.1503,0.6869000000000001,0.0
