Sketch,Plane,x,y,z
0,XY,-12.463553390593276,0.0,0.0
0,XY,0.25644660940672553,0.0,0.0
0,XY,0.25644660940672553,0.0,0.0
0,XY,0.25644660940672553,1.0,0.0
0,XY,0.25644660940672553,1.0,0.0
0,XY,-12.103553390593275,1.0,0.0
0,XY,-12.103553390593275,1.0,0.0
0,XY,-12.103553390593275,2.74,0.0
0,XY,-12.103553390593275,2.74,0.0
0,XY,-11.103553390593275,2.74,0.0
0,XY,-11.103553390593275,2.74,0.0
0,XY,-11.103553390593275,3.1,0.0
0,XY,-11.103553390593275,3.1,0.0
0,XY,-12.463553390593276,3.1,0.0
0,XY,-12.463553390593276,3.1,0.0
0,XY,-12.463553390593276,0.0,0.0
1,XY,-1.7435533905932745,1.0,0.0
1,XY,-1.7435533905932745,3.1,0.0
1,XY,-1.7435533905932745,3.1,0.0
1,XY,-2.7435533905932745,3.1,0.0
1,XY,-2.7435533905932745,3.1,0.0
1,XY,-2.7435533905932745,2.74,0.0
1,XY,-2.7435533905932745,2.74,0.0
1,XY,-2.1035533905932744,2.74,0.0
1,XY,-2.1035533905932744,2.74,0.0
1,XY,-2.1035533905932744,1.0,0.0
1,XY,-2.1035533905932744,1.0,0.0
1,XY,-1.7435533905932745,1.0,0.0
1,XY,-0.7435533905932745,1.0,0.0
1,XY,-0.7435533905932745,2.0,0.0
1,XY,-0.7435533905932745,2.0,0.0
1,XY,-1.7435533905932745,2.0,0.0
1,XY,-1.7435533905932745,2.0,0.0
1,XY,-1.7435533905932745,1.0,0.0
1,XY,-1.7435533905932745,1.0,0.0
1,XY,-0.7435533905932745,1.0,0.0
